rank,name,count,,
696,RICH,"49,481",,
697,BOOTH,"49,402",,
698,KOCH,"49,395",,
699,GOLDEN,"49,360",,
700,WARE,"49,316",,
701,BRENNAN,"49,238",,
702,MCDOWELL,"49,217",,
703,MARKS,"49,177",,
704,CANTU,"49,126",,
705,HUMPHREY,"49,056",,
706,BAXTER,"49,033",,
707,SAWYER,"49,028",,
708,CLAY,"48,844",,
709,TANNER,"48,813",,
710,HUTCHINSON,"48,781",,
711,KAUR,"48,753",,
712,BERG,"48,746",,
713,WILEY,"48,720",,
714,GILMORE,"48,719",,
715,RUSSO,"48,696",,
716,VILLEGAS,"48,599",,
717,HOBBS,"48,522",,
718,KEITH,"48,487",,
719,WILKERSON,"48,444",,
720,AHMED,"48,319",,
721,BEARD,"48,207",,
722,MCCLAIN,"48,165",,
723,MONTES,"48,142",,
724,MATA,"48,120",,
725,ROSARIO,"48,051",,
726,VANG,"48,036",,
727,WALTER,"48,024",,
728,HENSON,"48,013",,
729,ONEAL,"47,979",,
730,MOSLEY,"47,963",,
731,MCCLURE,"47,742",,
732,BEASLEY,"47,693",,
733,STEPHENSON,"47,641",,
734,SNOW,"47,528",,
735,HUERTA,"47,455",,
736,PRESTON,"47,367",,
737,VANCE,"47,324",,
738,BARRY,"47,274",,
739,JOHNS,"47,246",,
740,EATON,"47,184",,
741,BLACKWELL,"47,175",,
742,DYER,"47,170",,
743,PRINCE,"47,168",,
744,MACDONALD,"46,717",,
745,SOLOMON,"46,534",,
746,GUEVARA,"46,454",,
747,STAFFORD,"46,394",,
748,ENGLISH,"46,393",,
749,HURST,"46,244",,
750,WOODARD,"46,240",,
751,CORTES,"46,229",,
752,SHANNON,"46,147",,
753,KEMP,"46,146",,
754,NOLAN,"46,054",,
755,MCCULLOUGH,"45,852",,
756,MERRITT,"45,594",,
757,MURILLO,"45,558",,
758,MOON,"45,528",,
759,SALGADO,"45,469",,
760,STRONG,"45,432",,
761,KLINE,"45,390",,
762,CORDOVA,"45,305",,
763,BARAJAS,"45,153",,
764,ROACH,"45,019",,
765,ROSAS,"44,938",,
766,WINTERS,"44,914",,
767,JACOBSON,"44,808",,
768,LESTER,"44,784",,
769,KNOX,"44,742",,
770,BULLOCK,"44,740",,
771,KERR,"44,711",,
772,LEACH,"44,581",,
773,MEADOWS,"44,500",,
774,ORR,"44,388",,
774,DAVILA,"44,388",,
776,WHITEHEAD,"44,373",,
777,PRUITT,"44,365",,
778,KENT,"44,325",,
779,CONWAY,"44,320",,
780,MCKEE,"44,137",,
781,BARR,"44,130",,
782,DAVID,"44,040",,
783,DEJESUS,"44,038",,
784,MARIN,"43,904",,
